,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
0,100.0,Steven,King,SKING,515.123.4567,17-JUN-87,AD_PRES,24000.0,,,90.0
1,101.0,Neena,Kochhar,NKOCHHAR,515.123.4568,21-SEP-89,AD_VP,17000.0,,100.0,90.0
2,102.0,Lex,De Haan,LDEHAAN,515.123.4569,13-JAN-93,AD_VP,17000.0,,100.0,90.0
3,103.0,Alexander,Hunold,AHUNOLD,590.423.4567,03-JAN-90,IT_PROG,9000.0,,102.0,60.0
4,104.0,Bruce,Ernst,BERNST,590.423.4568,21-MAY-91,IT_PROG,6000.0,,103.0,60.0
5,105.0,David,Austin,DAUSTIN,590.423.4569,25-JUN-97,IT_PROG,4800.0,,103.0,60.0
6,106.0,Valli,Pataballa,VPATABAL,590.423.4560,05-FEB-98,IT_PROG,4800.0,,103.0,60.0
7,107.0,Diana,Lorentz,DLORENTZ,590.423.5567,07-FEB-99,IT_PROG,4200.0,,103.0,60.0
8,108.0,Nancy,Greenberg,NGREENBE,515.124.4569,17-AUG-94,FI_MGR,12000.0,,101.0,100.0
9,109.0,Daniel,Faviet,DFAVIET,515.124.4169,16-AUG-94,FI_ACCOUNT,9000.0,,108.0,100.0
10,110.0,John,Chen,JCHEN,515.124.4269,28-SEP-97,FI_ACCOUNT,8200.0,,108.0,100.0
11,111.0,Ismael,Sciarra,ISCIARRA,515.124.4369,30-SEP-97,FI_ACCOUNT,7700.0,,108.0,100.0
12,112.0,Jose Manuel,Urman,JMURMAN,515.124.4469,07-MAR-98,FI_ACCOUNT,7800.0,,108.0,100.0
13,113.0,Luis,Popp,LPOPP,515.124.4567,07-DEC-99,AC_MGR,12000.0,,108.0,100.0
14,114.0,Den,Raphaely,DRAPHEAL,515.127.4561,07-DEC-94,PU_MAN,11000.0,,100.0,30.0
15,115.0,Alexander,Khoo,AKHOO,515.127.4562,18-MAY-95,PU_CLERK,3100.0,,114.0,30.0
16,116.0,Shelli,Baida,SBAIDA,515.127.4563,24-DEC-97,PU_CLERK,2900.0,,114.0,30.0
17,117.0,Sigal,Tobias,STOBIAS,515.127.4564,24-JUL-97,PU_CLERK,2800.0,,114.0,30.0
18,118.0,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-98,PU_CLERK,2600.0,,114.0,30.0
19,119.0,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-99,PU_CLERK,2500.0,,114.0,30.0
20,120.0,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-96,ST_MAN,8000.0,,100.0,50.0
21,121.0,Adam,Fripp,AFRIPP,650.123.2234,10-APR-97,ST_MAN,8200.0,,100.0,50.0
22,122.0,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-95,ST_MAN,7900.0,,100.0,50.0
23,123.0,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-97,ST_MAN,6500.0,,100.0,50.0
24,124.0,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-99,ST_MAN,5800.0,,100.0,50.0
25,125.0,Julia,Nayer,JNAYER,650.124.1214,16-JUL-97,ST_CLERK,3200.0,,120.0,50.0
26,126.0,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-98,ST_CLERK,2700.0,,120.0,50.0
27,127.0,James,Landry,JLANDRY,650.124.1334,14-JAN-99,ST_CLERK,2400.0,,120.0,50.0
28,128.0,Steven,Markle,SMARKLE,650.124.1434,08-MAR-00,ST_CLERK,2200.0,,120.0,50.0
29,129.0,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-97,ST_CLERK,3300.0,,121.0,50.0
30,130.0,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-97,ST_CLERK,2800.0,,121.0,50.0
31,131.0,James,Marlow,JAMRLOW,650.124.7234,16-FEB-97,ST_CLERK,2500.0,,121.0,50.0
32,132.0,TJ,Olson,TJOLSON,650.124.8234,10-APR-99,ST_CLERK,2100.0,,121.0,50.0
33,133.0,Jason,Mallin,JMALLIN,650.127.1934,14-JUN-96,ST_CLERK,3300.0,,122.0,50.0
34,134.0,Michael,Rogers,MROGERS,650.127.1834,26-AUG-98,ST_CLERK,2900.0,,122.0,50.0
35,135.0,Ki,Gee,KGEE,650.127.1734,12-DEC-99,ST_CLERK,2400.0,,122.0,50.0
36,136.0,Hazel,Philtanker,HPHILTAN,650.127.1634,06-FEB-00,ST_CLERK,2200.0,,122.0,50.0
37,137.0,Renske,Ladwig,RLADWIG,650.121.1234,14-JUL-95,ST_CLERK,3600.0,,123.0,50.0
38,138.0,Stephen,Stiles,SSTILES,650.121.2034,26-OCT-97,ST_CLERK,3200.0,,123.0,50.0
39,139.0,John,Seo,JSEO,650.121.2019,12-FEB-98,ST_CLERK,2700.0,,123.0,50.0
40,140.0,Joshua,Patel,JPATEL,650.121.1834,06-APR-98,ST_CLERK,2500.0,,123.0,50.0
41,141.0,Trenna,Rajs,TRAJS,650.121.8009,17-OCT-95,ST_CLERK,3500.0,,124.0,50.0
42,142.0,Curtis,Davies,CDAVIES,650.121.2994,29-JAN-97,ST_CLERK,3100.0,,124.0,50.0
43,143.0,Randall,Matos,RMATOS,650.121.2874,15-MAR-98,ST_CLERK,2600.0,,124.0,50.0
44,144.0,Peter,Vargas,PVARGAS,650.121.2004,09-JUL-98,ST_CLERK,2500.0,,124.0,50.0
45,145.0,John,Russell,JRUSSEL,011.44.1344.429268,01-OCT-96,SA_MAN,14000.0,,100.0,80.0
46,146.0,Karen,Partners,KPARTNER,011.44.1344.467268,05-JAN-97,SA_MAN,13500.0,,100.0,80.0
47,147.0,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-MAR-97,SA_MAN,12000.0,,100.0,80.0
48,148.0,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-OCT-99,SA_MAN,11000.0,,100.0,80.0
49,149.0,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-JAN-00,SA_MAN,10500.0,,100.0,80.0
50,150.0,Peter,Tucker,PTUCKER,011.44.1344.129268,30-JAN-97,SA_REP,10000.0,,145.0,80.0
51,151.0,David,Bernstein,DBERNSTE,011.44.1344.345268,24-MAR-97,SA_REP,9500.0,,145.0,80.0
52,152.0,Peter,Hall,PHALL,011.44.1344.478968,20-AUG-97,SA_REP,9000.0,,145.0,80.0
53,153.0,Christopher,Olsen,COLSEN,011.44.1344.498718,30-MAR-98,SA_REP,8000.0,,145.0,80.0
54,154.0,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-DEC-98,SA_REP,7500.0,,145.0,80.0
55,155.0,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-NOV-99,SA_REP,7000.0,,145.0,80.0
56,156.0,Janette,King,JKING,011.44.1345.429268,30-JAN-96,SA_REP,10000.0,,146.0,80.0
57,157.0,Patrick,Sully,PSULLY,011.44.1345.929268,04-MAR-96,SA_REP,9500.0,,146.0,80.0
58,158.0,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-AUG-96,SA_REP,9000.0,,146.0,80.0
59,159.0,Lindsey,Smith,LSMITH,011.44.1345.729268,10-MAR-97,SA_REP,8000.0,,146.0,80.0
60,160.0,Louise,Doran,LDORAN,011.44.1345.629268,15-DEC-97,SA_REP,7500.0,,146.0,80.0
61,161.0,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-NOV-98,SA_REP,7000.0,,146.0,80.0
62,162.0,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-NOV-97,SA_REP,10500.0,,147.0,80.0
63,163.0,Danielle,Greene,DGREENE,011.44.1346.229268,19-MAR-99,SA_REP,9500.0,,147.0,80.0
64,164.0,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-JAN-00,SA_REP,7200.0,,147.0,80.0
65,165.0,David,Lee,DLEE,011.44.1346.529268,23-FEB-00,SA_REP,6800.0,,147.0,80.0
66,166.0,Sundar,Ande,SANDE,011.44.1346.629268,24-MAR-00,SA_REP,6400.0,,147.0,80.0
67,167.0,Amit,Banda,ABANDA,011.44.1346.729268,21-APR-00,SA_REP,6200.0,,147.0,80.0
68,168.0,Lisa,Ozer,LOZER,011.44.1343.929268,11-MAR-97,SA_REP,11500.0,,148.0,80.0
69,169.0,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-MAR-98,SA_REP,10000.0,,148.0,80.0
70,170.0,Tayler,Fox,TFOX,011.44.1343.729268,24-JAN-98,SA_REP,9600.0,,148.0,80.0
71,171.0,William,Smith,WSMITH,011.44.1343.629268,23-FEB-99,SA_REP,7400.0,,148.0,80.0
72,172.0,Elizabeth,Bates,EBATES,011.44.1343.529268,24-MAR-99,SA_REP,7300.0,,148.0,80.0
73,173.0,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-APR-00,SA_REP,6100.0,,148.0,80.0
74,174.0,Ellen,Abel,EABEL,011.44.1644.429267,11-MAY-96,SA_REP,11000.0,,149.0,80.0
75,175.0,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-MAR-97,SA_REP,8800.0,,149.0,80.0
76,176.0,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-MAR-98,SA_REP,8600.0,,149.0,80.0
77,177.0,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-APR-98,SA_REP,8400.0,,149.0,80.0
78,178.0,Kimberely,Grant,KGRANT,011.44.1644.429263,24-MAY-99,SA_REP,7000.0,,149.0,
79,179.0,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-JAN-00,SA_REP,6200.0,,149.0,80.0
80,180.0,Winston,Taylor,WTAYLOR,650.507.9876,24-JAN-98,SH_CLERK,3200.0,,120.0,50.0
81,181.0,Jean,Fleaur,JFLEAUR,650.507.9877,23-FEB-98,SH_CLERK,3100.0,,120.0,50.0
82,182.0,Martha,Sullivan,MSULLIVA,650.507.9878,21-JUN-99,SH_CLERK,2500.0,,120.0,50.0
83,183.0,Girard,Geoni,GGEONI,650.507.9879,03-FEB-00,SH_CLERK,2800.0,,120.0,50.0
84,184.0,Nandita,Sarchand,NSARCHAN,650.509.1876,27-JAN-96,SH_CLERK,4200.0,,121.0,50.0
85,185.0,Alexis,Bull,ABULL,650.509.2876,20-FEB-97,SH_CLERK,4100.0,,121.0,50.0
86,186.0,Julia,Dellinger,JDELLING,650.509.3876,24-JUN-98,SH_CLERK,3400.0,,121.0,50.0
87,187.0,Anthony,Cabrio,ACABRIO,650.509.4876,07-FEB-99,SH_CLERK,3000.0,,121.0,50.0
88,188.0,Kelly,Chung,KCHUNG,650.505.1876,14-JUN-97,SH_CLERK,3800.0,,122.0,50.0
89,189.0,Jennifer,Dilly,JDILLY,650.505.2876,13-AUG-97,SH_CLERK,3600.0,,122.0,50.0
90,190.0,Timothy,Gates,TGATES,650.505.3876,11-JUL-98,SH_CLERK,2900.0,,122.0,50.0
91,191.0,Randall,Perkins,RPERKINS,650.505.4876,19-DEC-99,SH_CLERK,2500.0,,122.0,50.0
92,192.0,Sarah,Bell,SBELL,650.501.1876,04-FEB-96,SH_CLERK,4000.0,,123.0,50.0
93,193.0,Britney,Everett,BEVERETT,650.501.2876,03-MAR-97,SH_CLERK,3900.0,,123.0,50.0
94,194.0,Samuel,McCain,SMCCAIN,650.501.3876,01-JUL-98,SH_CLERK,3200.0,,123.0,50.0
95,195.0,Vance,Jones,VJONES,650.501.4876,17-MAR-99,SH_CLERK,2800.0,,123.0,50.0
96,196.0,Alana,Walsh,AWALSH,650.507.9811,24-APR-98,SH_CLERK,3100.0,,124.0,50.0
97,197.0,Kevin,Feeney,KFEENEY,650.507.9822,23-MAY-98,SH_CLERK,3000.0,,124.0,50.0
98,198.0,Donald,OConnell,DOCONNEL,650.507.9833,21-JUN-99,SH_CLERK,2600.0,,124.0,50.0
99,199.0,Douglas,Grant,DGRANT,650.507.9844,13-JAN-00,SH_CLERK,2600.0,,124.0,50.0
100,200.0,Jennifer,Whalen,JWHALEN,515.123.4444,17-SEP-87,AD_ASST,4400.0,,101.0,10.0
101,201.0,Michael,Hartstein,MHARTSTE,515.123.5555,17-FEB-96,MK_MAN,13000.0,,100.0,20.0
102,202.0,Pat,Fay,PFAY,603.123.6666,17-AUG-97,MK_REP,6000.0,,201.0,20.0
103,203.0,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-94,HR_REP,6500.0,,101.0,40.0
104,204.0,Hermann,Baer,HBAER,515.123.8888,07-JUN-94,PR_REP,10000.0,,101.0,70.0
105,205.0,Shelley,Higgins,SHIGGINS,515.123.8080,07-JUN-94,AC_MGR,12000.0,,101.0,110.0
106,206.0,William,Gietz,WGIETZ,515.123.8181,07-JUN-94,AC_ACCOUNT,8300.0,,205.0,110.0
107,1130.0,Louis,Popp,LPOPP,515.124.4567,Oct 16 2019 10:10AM,AC_ACCOUNT,6900.0,,205.0,110.0
